gene,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
DIPK1B,0.9729729729729729,1.0,0.8973488388188143,0.9567739372639291
AFP,1.0,0.013703534969373508,0.9925984825316658,0.6687673391670131
FAM181A,1.0,0.002249197764686857,1.0,0.6674163992548956
GS1-600G8.3,1.0,0.002249197764686857,1.0,0.6674163992548956
DEFB123,1.0,0.002249197764686857,1.0,0.6674163992548956
DEFA4,1.0,0.002249197764686857,1.0,0.6674163992548956
DCST1,1.0,0.002249197764686857,1.0,0.6674163992548956
IL12A,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
CACNA1F,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
HAPSTR2,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
ATXN3L,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
B4GALNT2,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
AFM,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
ANKRD34C,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
C19orf84,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
ANOS2P,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
IFNA5,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
CASC17,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
CATSPER1,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
IFNA7,1.0,0.002249197764686857,0.9999999999999998,0.6674163992548955
AQP8,1.0,0.009701856208617448,0.9922261193539335,0.667309325187517
CT83,0.9864864864864864,0.013327823967272522,0.9844406922379143,0.6614183342305577
FSCN3,0.9864864864864864,0.013327823967272522,0.9844406922379143,0.6614183342305577
IFNA21,0.9864864864864864,0.0018663736811742944,0.9924146360459553,0.6602558320712053
DNAJB8-AS1,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CMTM5,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CHRM4,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
ALAS2,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
GCM1,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
C17orf50,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
DEFB118,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CCIN,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
CSN1S2AP,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
DCD,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
GPM6A-DT,0.9864864864864864,0.0018663736811742944,0.992414636045955,0.6602558320712052
GPX5,0.9864864864864864,0.002203802600372899,0.9918422097062483,0.6601774995977024
FOXN3-AS2,0.9864864864864864,0.002203802600372899,0.9918422097062483,0.6601774995977024
CBLL2,0.9864864864864864,0.002203802600372899,0.991842209706248,0.6601774995977024
APOA5,0.9864864864864864,0.002203802600372899,0.991842209706248,0.6601774995977024
BPIFC,0.9864864864864864,0.002203802600372899,0.991842209706248,0.6601774995977024
FSHR,0.9864864864864864,0.002203802600372899,0.9918422097062483,0.6601774995977024
ADRA1B,0.9864864864864864,0.0018591063597179311,0.9916510154147994,0.6599988694203346
FLJ16779,0.9864864864864864,0.0018591063597179311,0.9916510154147994,0.6599988694203346
CRB2,0.9864864864864864,0.0018591063597179311,0.9916510154147994,0.6599988694203346
APOB,0.9729729729729729,0.0018232684116591693,0.9842568457522033,0.6530176957122785
GS1-279B7.1,0.9729729729729729,0.0018232684116591693,0.9842568457522035,0.6530176957122785
GUCA2B,0.9729729729729729,0.0014783960252504427,0.9840656514607546,0.6528390068196593
CRNN,0.9729729729729729,0.0014783960252504427,0.9840656514607546,0.6528390068196593
CCL16,0.9729729729729729,0.0018155431112430395,0.9834932251210479,0.6527605804017546
DPP10-AS3,0.9729729729729729,0.0018155431112430395,0.9834932251210479,0.6527605804017546
FRMD8P1,0.9729729729729729,0.0018155431112430395,0.9834932251210479,0.6527605804017546
EVA1A-AS,0.9729729729729729,0.0021892645543372716,0.9802401485822672,0.6518007953698591
CHAT,0.9729729729729729,0.0016436789630499059,0.9803940109144158,0.6516702209501463
CARD18,0.9729729729729729,0.009059311369890657,0.9728113245597987,0.6516145363008875
DLGAP2-AS1,0.9594594594594594,0.01241365317005243,0.9652532671598885,0.6457087932631335
FLRT2-AS1,0.9594594594594594,0.0014371226715743847,0.9759078611670032,0.6456014810993457
CMTM2,0.9594594594594594,0.0012694323415854299,0.9728086469603711,0.644512512920472
C9orf43,0.9594594594594594,0.0012694323415854299,0.9728086469603711,0.644512512920472
CSNK1G2-AS1,0.9594594594594594,0.00869759603730037,0.9648809039821564,0.644345986492972
DEFB121,0.9594594594594594,0.0001526000111935894,0.9677572204013091,0.6424564266239874
GLYCTK-AS1,0.945945945945946,0.00010159923497764104,0.9601718564472642,0.635406467209396
FNDC7,0.9324324324324326,4.1589885902402026e-05,0.9518228718620637,0.6280989647267995
CXCR1,0.9054054054054055,0.0007919908683495132,0.9271386015005845,0.6111119992581132
FRMD1,0.9054054054054055,0.0013679371362345552,0.9218286047594489,0.6095339824336964
HTR3C,0.8918918918918919,6.121754914881692e-06,0.9151857360216545,0.6023612498894871
EIF2AK3,0.8918918918918919,0.0005836029355940496,0.9145754489419966,0.6023503145898275
DLGAP3,0.8918918918918919,0.0013502329691747663,0.9097623981221619,0.6010015076610762
GPR199P,0.8918918918918919,0.0006133987416835782,0.9099098250746642,0.6008050385694133
GPR32,0.8783783783783784,5.1137361949709904e-05,0.8979818766622382,0.5921371308008555
GALR3,0.8513513513513513,0.0,0.8768094779159539,0.5760536097557684
CHCHD3,0.8108108108108109,1.704210167593248e-06,0.8340299124456175,0.548280809155532
DSPP,0.7972972972972974,0.01383695980238776,0.8092252396781204,0.5401198322592685
CT47A12,0.581081081081081,8.723408757460208e-07,0.60017826744761,0.3937534069565223
CAPN10,0.5675675675675675,0.0,0.5864337757461551,0.3846671144379075
GRK1,0.5270270270270271,0.0,0.5452843213109956,0.3574371161126742
FAM107A,0.33783783783783783,0.6612302653672798,0.012956748723866355,0.33734161730966133
CYP3A5,0.6216216216216216,0.25673505553263354,0.0006808463657512367,0.29301250784000216
GJB1,0.5135135135135135,0.31441232403835845,0.00025868174140620593,0.2760615064310927
AJUBA,0.5135135135135135,0.23184764499700447,0.000670766953501623,0.24867730848800654
CRYAB,0.3918918918918919,0.23172436171401767,0.0002650897983096249,0.2079604478014064
GGA2,0.28378378378378377,0.32710412723456384,0.012939408764827322,0.207942439927725
COL4A6,0.472972972972973,0.1477760016534714,0.0002994452028014283,0.20701613994308196
GOLPH3,0.44594594594594594,0.1529553452135497,4.9083840400043465e-05,0.19965012499996523
CTSB,0.4594594594594595,0.13692638444342525,0.000449060757880822,0.1989449682202552
GSTM2,0.3648648648648649,0.15825319543948937,0.0002156376392933689,0.17444456598121585
DVL1,0.25675675675675674,0.24192817612348325,0.012929711582828317,0.17053821482102274
AOX1,0.35135135135135137,0.13817357637872182,0.00027619625764583905,0.16326704132923966
FLRT3,0.40540540540540543,0.06603436077363393,0.00027831929718471674,0.157239361825408
GABRE,0.40540540540540543,0.062126331726322176,0.0002659943162262226,0.15593257714931794
AVPI1,0.35135135135135137,0.08355721756929078,0.0004552612969074402,0.1451212767391832
HPN,0.35135135135135137,0.05936380471394297,8.074662401709466e-05,0.1369319675631038
CSTA,0.3243243243243243,0.07962400803124242,0.0002535402132413542,0.13473395752293602
CAPG,0.35135135135135137,0.04237338010936667,0.0002660618794279672,0.13133026444671533
AGPAT3,0.2702702702702703,0.11477768057711185,1.5775229667342372e-05,0.12835457535901648
GSTM1,0.3243243243243243,0.056049058560500194,3.5591177782278704e-05,0.12680299135420225
ANXA2,0.2972972972972973,0.050996932246885944,0.00025748922582670793,0.11618390625666998
DUS1L,0.24324324324324323,0.08874429958020189,0.0006002717116563519,0.11086260484503381
CYP4B1,0.28378378378378377,0.04176647587829766,6.795276642195126e-05,0.10853940414283447
FAM83B,0.3108108108108108,0.011829701579162858,6.897220085100818e-05,0.10756982819694155
CAV2,0.24324324324324323,0.048226291540077744,5.681810940239796e-05,0.09717545096424113
DMKN,0.25675675675675674,0.03231216492692143,6.578371985659124e-05,0.09637823513451159
GPRC5B,0.24324324324324323,0.04237640529298532,0.0004224885718863316,0.0953473790360383
DST,0.24324324324324323,0.038206238433809395,4.089177937790534e-05,0.09383012448547684
GSTP1,0.25675675675675674,0.02424477834764579,4.7106029652748585e-05,0.09368288037801842
HIPK3,0.12162162162162161,0.09080827335739153,0.06810947584005658,0.0935131236063566
ATP11B,0.24324324324324323,0.03620712156925921,1.2749592349087835e-05,0.09315437146828386
ADSL,0.21621621621621623,0.06188288756634659,1.3727062352468238e-05,0.09270427694830509
DEFB1,0.25675675675675674,0.018182273509790514,5.2330517947455835e-05,0.0916637869281649
CENPX,0.21621621621621623,0.04751992320058719,3.177589546116797e-05,0.08792263843742153
COL17A1,0.22972972972972974,0.02922366136199415,5.859488867133095e-05,0.08633732866013173
COL7A1,0.22972972972972974,0.020933934188624843,5.122001380052076e-05,0.08357162797738504
GJA1,0.21621621621621623,0.030704678701931862,3.878239781229439e-05,0.08231989243865347
GPR160,0.20270270270270271,0.04209145831005079,1.0082071180086374e-05,0.0816014143613112
ARHGEF26,0.20270270270270271,0.036647911784691116,3.7954969094248956e-05,0.07979618981882937
ETS2,0.13513513513513514,0.10229497265940206,0.001000067486668885,0.07947672509373536
DCAF12,0.21621621621621623,0.014570784746770538,1.3256963444781497e-05,0.07693341930881052
H2AC25,0.17567567567567569,0.05332489294936748,0.00021050965378217724,0.07640369275960844
ACSF2,0.18918918918918917,0.03697632911610198,4.14960960945538e-05,0.07540233813379522
EPCAM,0.17567567567567569,0.04987392876045022,0.0002082944785289134,0.0752526329715516
COX5B,0.20270270270270271,0.01989441176738946,1.1485107907388678e-05,0.07420286652599985
EGFR,0.21621621621621623,0.006060133888745087,0.00025209289231510157,0.07417614766575881
CPLX3,0.14864864864864866,0.0720417396845908,0.0002050710950489998,0.07363181980942948
COX7A2P2,0.18918918918918917,0.025102041783102592,7.254767948757871e-06,0.07143282858008017
GBP2,0.16216216216216214,0.05178485076626884,1.4940426963883534e-05,0.07132065111846496
HOXD11,0.16216216216216214,0.04731076792341809,0.00062023741084037,0.0700310558321402
BCL11A,0.20270270270270271,0.0063063079915156904,4.750134841619373e-05,0.06968550401421153
CANT1,0.16216216216216214,0.04273593423103033,1.2096073079191906e-05,0.06830339748875723
ALDH3A2,0.10810810810810811,0.09593299386145196,0.0003693841093194506,0.06813682869295984
CCT6A,0.17567567567567569,0.025004981399519625,5.973649239803647e-06,0.0668955435748117
FBP1,0.17567567567567569,0.01830394350999598,1.4414808015606163e-05,0.06466467799789576
CD177,0.13513513513513514,0.051477078056607437,0.00021707999320882656,0.06227643106165048
GNAL,0.17567567567567569,0.009594201168541953,5.044714000987879e-05,0.061773441328075836
HSPB6,0.14864864864864866,0.024558851337692866,1.799494251235406e-05,0.0577418316429513
ID4,0.14864864864864866,0.01442473934922324,3.813246659990151e-05,0.054370506821490604
ARHGAP32,0.12162162162162161,0.040292215141594916,1.3484060190968066e-05,0.0539757736078025
ATP5F1D,0.09459459459459459,0.053590535503455154,0.012868372679001518,0.05368450092568375
CDC14B,0.09459459459459459,0.06359382637887413,3.5559929611097197e-06,0.05273065898880994
EEF2,0.13513513513513514,0.02266988534606305,7.63287033250367e-06,0.05260421778384356
HOXD10,0.14864864864864866,0.00838479122882169,0.00023078736488770765,0.05242140908078602
CACHD1,0.14864864864864866,0.005842216362517896,2.6844948704461665e-05,0.051505903319957004
ADD3,0.09459459459459459,0.0587050994109419,1.0193734395226105e-05,0.05110329591331058
GNB2,0.13513513513513514,0.01440439189642119,1.756388649395757e-05,0.04985236363935009
AIMP2,0.12162162162162161,0.0266576980920638,5.519818816253326e-06,0.04942827984416722
AOC1,0.09459459459459459,0.05065476874686826,2.569810336365067e-05,0.04842502048160883
CCND2,0.13513513513513514,0.00966955215641794,1.5602783809669893e-05,0.04827343002512091
DKK3,0.08108108108108107,0.06201143694585457,4.889253063911583e-06,0.04769913575999985
HSD17B10,0.13513513513513514,0.0059387695937151265,2.88168838301762e-06,0.04702559547241109
DUOXA1,0.13513513513513514,0.002504527963783331,7.7904956241432e-06,0.0458824845315142
GGCT,0.13513513513513514,0.001904837931963363,9.668936423723097e-06,0.04568321400117408
GATA3,0.13513513513513514,0.0016227518749436613,1.8364430978006008e-05,0.0455920838136856
B4GALT2,0.10810810810810811,0.02663259665157822,0.0005721950223884608,0.04510429992735826
CAMKK2,0.05405405405405406,0.08123369549342908,1.0216176575260732e-05,0.04509932190801946
HSPE1,0.12162162162162161,0.006755546546372184,2.183995793571636e-06,0.042793117387929125
FAM83H,0.12162162162162161,0.004989935925440664,5.9085737451701465e-06,0.042205822040269146
GPR87,0.12162162162162161,0.00465018836171809,1.872962960700918e-05,0.0420968465376489
COPZ2,0.12162162162162161,0.00428572887780132,0.00021962027722045876,0.042042323592214464
DTD2,0.12162162162162161,0.004090433694244884,2.440145641999161e-06,0.04190483182050283
CORO1B,0.10810810810810811,0.011228582066434692,1.066457042618849e-05,0.03978245158165633
EHD2,0.10810810810810811,0.010795688377241873,2.0677706073835235e-05,0.03964149139714127
DANCR,0.10810810810810811,0.010436564006854929,3.968348996063971e-06,0.03951621348798637
APMAP,0.09459459459459459,0.022558076587339423,5.067871211447937e-06,0.03905257968438182
DMRTA1,0.05405405405405406,0.0205414642623862,0.041341528630867264,0.038645682315769175
DPYS,0.08108108108108107,0.03386921078628801,2.8589360750895335e-06,0.03831771693448139
COX3,0.08108108108108107,0.03083980249264559,0.0003512033478682456,0.037424028973864966
FHL2,0.10810810810810811,0.002318664186550483,1.809378190073237e-05,0.03681495535885311
CMIP,0.10810810810810811,0.0013420563124983496,9.194312433554751e-06,0.036486452911013344
CEBPB,0.08108108108108107,0.02595753878898689,0.0009901941951090286,0.03600960468839233
GLYATL1,0.08108108108108107,0.02328033047471297,0.00019324816244764532,0.03485155323941389
FERMT2,0.09459459459459459,0.008867509194685702,5.811006527763933e-06,0.03448930493193602
BEND4,0.09459459459459459,0.006151503313468616,2.262961837587404e-05,0.033589575842146356
CLIP4,0.08108108108108107,0.01940855035685403,9.850190689046515e-06,0.03349982720954138
GCNT2,0.05405405405405406,0.043464492365562046,0.00019111020618780756,0.032569885541934636
ELF4,0.09459459459459459,0.002869672233792558,1.850513252561696e-05,0.032494257320304254
HLF,0.08108108108108107,0.016093256992184363,0.00019794977555859396,0.03245742928294134
ANO5,0.06756756756756757,0.02915179302501363,0.00018655730301087402,0.032301972631864025
FADS1,0.06756756756756757,0.0288573159439925,0.0001992031053850281,0.03220802887231503
GAS1RR,0.08108108108108107,0.014516090338109326,0.00036843255957675513,0.031988534659589056
ACOX2,0.09459459459459459,0.0005644140755604285,5.161842677688629e-06,0.03172139017094424
ANXA2P2,0.09459459459459459,0.00010125852695750972,1.7718248176175105e-05,0.03157119045657609
ERGIC1,0.08108108108108107,0.006956271023188577,1.41150408761135e-05,0.02935048904838192
C1QTNF3-AMACR,0.06756756756756757,0.019548802993214803,0.00019593634243218,0.029104102301071518
FKBPL,0.06756756756756757,0.01525425132120619,0.0005432100355670355,0.027788342974780268
ECT2,0.08108108108108107,0.001193964878259893,1.9940650770553095e-06,0.02742568000813934
EVA1C,0.08108108108108107,0.0005208247826780438,3.0661474532036214e-05,0.027210855779430387
EBNA1BP2,0.08108108108108107,0.0004157264929118509,7.797494313884897e-06,0.027168201689435605
